FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC282256,ACC168517,59579,Cash Deposit,2024-07-04,suspicious
ACC168517,ACC332360,53621,NEFT,2022-01-27,suspicious
ACC153872,ACC332360,132784,RTGS,2023-09-22,normal
ACC718226,ACC168517,23452,Cash Deposit,2022-10-08,normal
ACC760021,ACC889359,72962,UPI,2025-01-02,normal
ACC153872,ACC332360,15690,NEFT,2024-12-19,normal
ACC718226,ACC600935,97976,UPI,2025-07-31,normal
ACC950544,ACC760021,47896,NEFT,2025-02-14,normal
ACC168517,ACC396451,136180,NEFT,2022-04-13,normal
ACC185131,ACC153872,101326,RTGS,2022-11-29,normal
ACC168517,ACC717113,141274,Cash Deposit,2023-04-25,normal
ACC522060,ACC600935,88026,Cash Deposit,2025-04-04,normal
ACC326895,ACC760021,115879,NEFT,2025-01-03,normal
ACC522060,ACC153872,14319,Cash Deposit,2024-01-29,normal
ACC153872,ACC326895,89637,RTGS,2024-03-01,normal
ACC326895,ACC168517,50742,Cash Deposit,2024-01-02,normal
ACC600935,ACC326895,9385,RTGS,2022-11-21,normal
ACC876039,ACC153872,140639,UPI,2025-03-31,normal
ACC760021,ACC326895,125179,Cash Deposit,2024-06-26,normal
ACC718226,ACC168517,5650,NEFT,2023-05-30,normal
ACC901577,ACC600935,148281,UPI,2024-08-30,normal
ACC326895,ACC168517,41140,RTGS,2025-01-23,normal
ACC153872,ACC751194,16703,NEFT,2022-11-07,normal
ACC168517,ACC718226,17710,RTGS,2022-07-16,normal
ACC282256,ACC600935,21810,RTGS,2025-09-03,normal
ACC760021,ACC326895,8540,Cash Deposit,2023-06-04,normal
ACC168517,ACC332360,69327,UPI,2023-09-20,normal
ACC332360,ACC600935,80671,NEFT,2025-02-15,normal
ACC341736,ACC600935,17410,Cash Deposit,2022-01-20,normal
ACC717113,ACC168517,36243,RTGS,2022-06-25,normal
ACC168517,ACC326895,66210,NEFT,2022-03-25,normal
ACC760021,ACC332360,70702,Cash Deposit,2025-11-11,normal
ACC522060,ACC600935,95981,UPI,2025-07-28,normal
ACC950544,ACC600935,9765,UPI,2022-07-03,normal
ACC760021,ACC168517,80993,UPI,2022-10-26,normal
ACC360247,ACC600935,2660,RTGS,2025-10-01,normal
ACC796212,ACC153872,14975,NEFT,2022-06-14,normal
ACC141797,ACC168517,32612,NEFT,2023-05-08,normal
ACC282256,ACC760021,27926,RTGS,2025-04-22,normal
ACC600935,ACC342720,16742,RTGS,2023-04-10,normal
ACC342720,ACC600935,42534,UPI,2022-09-23,normal
ACC168517,ACC836996,53895,Cash Deposit,2024-09-20,normal
ACC522060,ACC760021,5861,Cash Deposit,2022-12-14,normal
ACC528361,ACC760021,27811,Cash Deposit,2023-12-01,normal
ACC342720,ACC600935,11615,NEFT,2024-01-04,normal
ACC153872,ACC332360,55365,RTGS,2022-05-06,normal
ACC326895,ACC168517,82450,NEFT,2023-04-13,normal
ACC760021,ACC718226,122329,UPI,2025-10-07,normal
ACC153872,ACC889359,37679,RTGS,2022-01-22,normal
ACC168517,ACC717113,23969,RTGS,2023-11-02,normal
ACC185131,ACC760021,123470,Cash Deposit,2024-10-20,normal
ACC168517,ACC522060,36141,UPI,2024-07-21,normal
ACC168517,ACC836996,21663,Cash Deposit,2024-08-09,normal
ACC751194,ACC168517,33638,NEFT,2024-10-04,normal
ACC522060,ACC153872,7066,NEFT,2023-03-19,normal
ACC147726,ACC600935,68533,RTGS,2023-07-27,normal
ACC168517,ACC718226,99437,UPI,2023-07-24,normal
ACC760021,ACC889359,102192,UPI,2025-03-22,normal
