FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC321275,ACC360247,43664,Cash Deposit,2023-06-28,suspicious
ACC142185,ACC321275,34931,UPI,2025-05-23,suspicious
ACC876039,ACC340044,69024,UPI,2022-01-02,suspicious
ACC326895,ACC876039,55219,RTGS,2023-11-07,suspicious
ACC142185,ACC644173,63952,NEFT,2023-06-21,suspicious
ACC644173,ACC901577,56846,Cash Deposit,2025-02-07,suspicious
ACC332360,ACC644173,95699,Cash Deposit,2024-03-04,normal
ACC718226,ACC644173,36478,NEFT,2025-05-16,normal
ACC301939,ACC342720,32626,Cash Deposit,2023-10-25,normal
ACC340044,ACC528361,50296,NEFT,2023-01-06,normal
ACC796212,ACC899787,16773,UPI,2022-01-07,normal
ACC326895,ACC342720,39535,RTGS,2025-07-21,normal
ACC644173,ACC718226,98532,NEFT,2025-06-13,normal
ACC836996,ACC342720,122912,Cash Deposit,2022-09-01,normal
ACC717113,ACC321275,122445,Cash Deposit,2023-02-13,normal
ACC899787,ACC718226,34041,Cash Deposit,2024-06-30,normal
ACC899787,ACC836996,141530,Cash Deposit,2025-05-04,normal
ACC878967,ACC321275,143637,RTGS,2025-05-02,normal
ACC644173,ACC796212,49769,NEFT,2023-03-22,normal
ACC342720,ACC717113,130892,NEFT,2025-01-08,normal
ACC326895,ACC342720,25443,Cash Deposit,2025-07-10,normal
ACC528361,ACC876039,53159,RTGS,2022-09-17,normal
ACC342720,ACC332360,67174,UPI,2024-12-26,normal
ACC522060,ACC713762,82576,Cash Deposit,2022-10-03,normal
ACC899787,ACC718226,142250,NEFT,2022-07-26,normal
ACC321275,ACC326895,20265,RTGS,2023-12-04,normal
ACC326895,ACC528361,38663,NEFT,2024-06-19,normal
ACC717113,ACC321275,89520,Cash Deposit,2025-01-20,normal
ACC114835,ACC876039,13164,UPI,2025-09-13,normal
ACC713762,ACC751194,109442,Cash Deposit,2022-01-10,normal
ACC876039,ACC901577,37486,UPI,2024-10-01,normal
ACC876039,ACC153872,140639,UPI,2025-03-31,normal
ACC899787,ACC522060,2942,UPI,2025-03-12,normal
ACC528361,ACC522060,93908,UPI,2022-08-18,normal
ACC522060,ACC528361,142938,UPI,2024-07-18,normal
ACC342720,ACC528361,73038,UPI,2022-03-13,normal
ACC644173,ACC326895,35480,UPI,2024-03-21,normal
ACC718226,ACC342720,12359,NEFT,2023-06-21,normal
ACC332360,ACC321275,131695,Cash Deposit,2025-11-13,normal
ACC321275,ACC718226,39864,Cash Deposit,2022-10-23,normal
ACC282256,ACC713762,108659,UPI,2023-02-24,normal
