FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC796212,ACC522060,95294,UPI,2025-08-14,normal
ACC796212,ACC326895,52222,Cash Deposit,2024-06-16,normal
ACC796212,ACC273982,62754,UPI,2024-12-30,normal
ACC796212,ACC899787,16773,UPI,2022-01-07,normal
ACC644173,ACC796212,49769,NEFT,2023-03-22,normal
ACC796212,ACC326895,72968,UPI,2024-01-31,normal
ACC796212,ACC360247,15531,UPI,2022-03-14,normal
ACC796212,ACC326895,101791,NEFT,2025-03-05,normal
ACC332360,ACC796212,24324,NEFT,2023-10-14,normal
ACC796212,ACC332360,71334,Cash Deposit,2024-12-26,normal
ACC718226,ACC796212,28412,UPI,2022-03-31,normal
ACC796212,ACC273982,99273,UPI,2023-09-29,normal
ACC796212,ACC153872,14975,NEFT,2022-06-14,normal
ACC796212,ACC332360,32261,Cash Deposit,2024-04-12,normal
ACC796212,ACC522060,100843,Cash Deposit,2024-09-02,normal
ACC718226,ACC796212,63396,Cash Deposit,2025-04-27,normal
ACC796212,ACC478411,107062,RTGS,2022-09-20,normal
ACC326895,ACC796212,39189,NEFT,2025-12-07,normal
ACC522060,ACC796212,146304,NEFT,2024-06-22,normal
ACC796212,ACC326895,140380,NEFT,2023-01-24,normal
ACC796212,ACC876039,40078,RTGS,2024-03-09,normal
ACC796212,ACC718226,74267,Cash Deposit,2025-02-07,normal
ACC878967,ACC796212,99739,Cash Deposit,2022-05-22,normal
ACC796212,ACC326895,122058,RTGS,2024-12-13,normal
ACC878967,ACC796212,5875,NEFT,2024-09-22,normal
ACC901577,ACC796212,108270,Cash Deposit,2025-07-16,normal
ACC282256,ACC796212,42213,RTGS,2022-02-25,normal
ACC147726,ACC796212,125923,UPI,2024-01-27,normal
ACC796212,ACC522060,137074,UPI,2025-09-05,normal
ACC899787,ACC796212,66184,RTGS,2022-02-17,normal
ACC836996,ACC796212,104139,UPI,2022-08-09,normal
ACC342720,ACC796212,24651,NEFT,2024-10-11,normal
ACC796212,ACC718226,88357,Cash Deposit,2023-05-12,normal
ACC876039,ACC796212,118557,UPI,2023-05-29,normal
ACC796212,ACC718226,43149,UPI,2025-05-14,normal
ACC796212,ACC751194,54875,RTGS,2025-10-30,normal
ACC332360,ACC796212,74034,NEFT,2025-09-28,normal
ACC796212,ACC114835,85299,Cash Deposit,2024-02-21,normal
ACC168517,ACC796212,26486,Cash Deposit,2022-08-07,normal
ACC341736,ACC796212,21906,UPI,2023-06-14,normal
ACC600935,ACC796212,68099,UPI,2024-02-27,normal
ACC522060,ACC796212,131723,UPI,2025-11-19,normal
