FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC142185,ACC644173,63952,NEFT,2023-06-21,suspicious
ACC644173,ACC901577,56846,Cash Deposit,2025-02-07,suspicious
ACC332360,ACC644173,95699,Cash Deposit,2024-03-04,normal
ACC718226,ACC644173,36478,NEFT,2025-05-16,normal
ACC273982,ACC478411,80874,RTGS,2022-03-21,normal
ACC796212,ACC273982,62754,UPI,2024-12-30,normal
ACC644173,ACC718226,98532,NEFT,2025-06-13,normal
ACC273982,ACC341736,69358,RTGS,2024-02-10,normal
ACC273982,ACC718226,143675,RTGS,2023-01-20,normal
ACC644173,ACC796212,49769,NEFT,2023-03-22,normal
ACC273982,ACC326895,110058,NEFT,2022-06-06,normal
ACC644173,ACC326895,35480,UPI,2024-03-21,normal
ACC718226,ACC273982,126376,RTGS,2023-01-05,normal
ACC644173,ACC876039,72870,Cash Deposit,2023-12-08,normal
ACC273982,ACC901577,25218,NEFT,2025-03-02,normal
ACC644173,ACC718226,72520,RTGS,2024-11-10,normal
ACC185131,ACC644173,82074,UPI,2025-09-03,normal
ACC522060,ACC644173,111828,Cash Deposit,2023-03-25,normal
ACC478411,ACC644173,30068,NEFT,2025-06-27,normal
ACC796212,ACC273982,99273,UPI,2023-09-29,normal
ACC273982,ACC332360,5461,Cash Deposit,2023-03-06,normal
ACC273982,ACC718226,97593,NEFT,2022-01-20,normal
ACC273982,ACC114835,3156,NEFT,2024-09-10,normal
ACC273982,ACC718226,61934,UPI,2022-04-06,normal
ACC185131,ACC644173,107090,RTGS,2024-09-01,normal
ACC717113,ACC273982,120913,Cash Deposit,2022-12-07,normal
ACC718226,ACC644173,31759,UPI,2025-06-20,normal
ACC717113,ACC273982,148869,UPI,2023-08-07,normal
ACC341736,ACC273982,8986,UPI,2023-12-12,normal
ACC301939,ACC644173,107247,NEFT,2023-02-10,normal
ACC644173,ACC522060,104477,UPI,2023-07-31,normal
ACC644173,ACC718226,54441,RTGS,2022-07-23,normal
ACC273982,ACC522060,20208,Cash Deposit,2024-08-27,normal
ACC273982,ACC282256,10797,UPI,2022-05-03,normal
ACC644173,ACC205409,114303,Cash Deposit,2022-03-10,normal
ACC273982,ACC153872,2522,Cash Deposit,2024-01-24,normal
ACC644173,ACC522060,47660,NEFT,2022-10-04,normal
ACC717113,ACC644173,42091,Cash Deposit,2025-08-27,normal
ACC644173,ACC899787,95658,RTGS,2022-07-03,normal
ACC717113,ACC273982,2705,Cash Deposit,2022-04-14,normal
ACC644173,ACC332360,141839,NEFT,2024-05-31,normal
ACC341736,ACC644173,93440,Cash Deposit,2024-10-06,normal
ACC644173,ACC301939,46007,Cash Deposit,2025-05-07,normal
ACC273982,ACC522060,83158,RTGS,2025-01-14,normal
ACC273982,ACC718226,16147,RTGS,2023-12-12,normal
ACC332360,ACC273982,125972,Cash Deposit,2025-12-21,normal
ACC282256,ACC644173,69439,NEFT,2024-02-20,normal
ACC644173,ACC522060,118594,UPI,2022-11-12,normal
ACC522060,ACC273982,12982,RTGS,2022-05-11,normal
ACC273982,ACC718226,57616,RTGS,2024-11-15,normal
ACC273982,ACC168517,129085,RTGS,2025-03-25,normal
ACC644173,ACC360247,25678,UPI,2024-08-17,normal
ACC273982,ACC713762,86662,Cash Deposit,2025-12-11,normal
ACC273982,ACC332360,130045,RTGS,2022-01-15,normal
ACC718226,ACC644173,142874,NEFT,2023-03-05,normal
ACC644173,ACC718226,82889,NEFT,2024-09-16,normal
ACC718226,ACC644173,78924,UPI,2022-02-20,normal
ACC273982,ACC889359,114007,NEFT,2023-09-03,normal
ACC273982,ACC718226,35675,UPI,2025-04-26,normal
ACC273982,ACC889359,93194,RTGS,2022-03-02,normal
ACC341736,ACC273982,15774,RTGS,2022-08-14,normal
ACC273982,ACC718226,13791,UPI,2022-02-23,normal
ACC141797,ACC644173,145543,NEFT,2023-10-25,normal
ACC644173,ACC282256,89693,NEFT,2023-12-05,normal
ACC185131,ACC644173,73063,Cash Deposit,2023-08-14,normal
ACC273982,ACC751194,66065,Cash Deposit,2022-05-28,normal
ACC522060,ACC644173,89854,NEFT,2025-11-25,normal
ACC713762,ACC644173,107980,Cash Deposit,2024-01-30,normal
ACC836996,ACC644173,76835,UPI,2024-03-26,normal
ACC644173,ACC326895,111907,UPI,2024-09-14,normal
ACC114835,ACC644173,23767,NEFT,2022-02-21,normal
ACC141797,ACC273982,37483,RTGS,2023-09-14,normal
ACC644173,ACC168517,135713,RTGS,2024-01-25,normal
ACC718226,ACC644173,101339,Cash Deposit,2022-09-08,normal
ACC332360,ACC273982,135495,RTGS,2025-08-20,normal
ACC644173,ACC340044,40173,UPI,2022-12-04,normal
ACC273982,ACC114835,5602,Cash Deposit,2023-10-16,normal
ACC713762,ACC273982,10655,NEFT,2023-03-18,normal
ACC644173,ACC889359,112289,RTGS,2025-12-28,normal
ACC273982,ACC396451,44904,RTGS,2025-12-05,normal
ACC644173,ACC326895,117680,Cash Deposit,2024-11-13,normal
ACC644173,ACC147726,102421,Cash Deposit,2024-12-29,normal
ACC341736,ACC273982,144380,UPI,2023-02-21,normal
ACC718226,ACC644173,56363,UPI,2024-02-07,normal
ACC717113,ACC273982,60190,Cash Deposit,2023-06-07,normal
ACC644173,ACC332360,144702,UPI,2024-08-14,normal
ACC644173,ACC321275,110309,RTGS,2025-07-21,normal
ACC273982,ACC147726,97647,UPI,2022-10-27,normal
