FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC340044,ACC326895,62122,NEFT,2025-09-25,suspicious
ACC326895,ACC876039,55219,RTGS,2023-11-07,suspicious
ACC796212,ACC326895,52222,Cash Deposit,2024-06-16,normal
ACC114835,ACC718226,91900,RTGS,2024-05-14,normal
ACC273982,ACC478411,80874,RTGS,2022-03-21,normal
ACC478411,ACC326895,116576,UPI,2023-10-31,normal
ACC114835,ACC751194,25961,RTGS,2022-05-20,normal
ACC326895,ACC342720,39535,RTGS,2025-07-21,normal
ACC326895,ACC950544,9939,UPI,2023-04-01,normal
ACC341736,ACC326895,23796,UPI,2022-05-21,normal
ACC326895,ACC717113,49767,NEFT,2024-05-24,normal
ACC326895,ACC718226,102012,NEFT,2024-10-13,normal
ACC326895,ACC522060,15804,NEFT,2025-06-02,normal
ACC114835,ACC185131,136899,Cash Deposit,2024-11-24,normal
ACC326895,ACC332360,123309,NEFT,2025-01-08,normal
ACC141797,ACC326895,88174,Cash Deposit,2022-07-22,normal
ACC396451,ACC326895,132112,RTGS,2022-11-24,normal
ACC326895,ACC760021,115879,NEFT,2025-01-03,normal
ACC326895,ACC342720,25443,Cash Deposit,2025-07-10,normal
ACC718226,ACC326895,113828,NEFT,2022-03-28,normal
ACC321275,ACC326895,20265,RTGS,2023-12-04,normal
ACC326895,ACC528361,38663,NEFT,2024-06-19,normal
ACC326895,ACC718226,107104,UPI,2025-03-09,normal
ACC153872,ACC326895,89637,RTGS,2024-03-01,normal
ACC326895,ACC168517,50742,Cash Deposit,2024-01-02,normal
ACC114835,ACC876039,13164,UPI,2025-09-13,normal
ACC600935,ACC326895,9385,RTGS,2022-11-21,normal
ACC273982,ACC326895,110058,NEFT,2022-06-06,normal
ACC332360,ACC478411,34621,UPI,2022-03-18,normal
ACC718226,ACC326895,134088,NEFT,2024-12-06,normal
ACC760021,ACC326895,125179,Cash Deposit,2024-06-26,normal
ACC142185,ACC326895,63351,RTGS,2023-03-16,normal
ACC326895,ACC332360,5265,NEFT,2025-06-29,normal
ACC644173,ACC326895,35480,UPI,2024-03-21,normal
ACC796212,ACC326895,72968,UPI,2024-01-31,normal
ACC326895,ACC332360,132025,UPI,2023-09-04,normal
ACC326895,ACC332360,58094,RTGS,2022-12-20,normal
ACC326895,ACC168517,41140,RTGS,2025-01-23,normal
ACC326895,ACC718226,149609,NEFT,2022-01-26,normal
ACC396451,ACC326895,122973,UPI,2022-07-03,normal
ACC796212,ACC326895,101791,NEFT,2025-03-05,normal
ACC760021,ACC326895,8540,Cash Deposit,2023-06-04,normal
ACC326895,ACC522060,72746,UPI,2022-06-18,normal
ACC717113,ACC326895,49875,Cash Deposit,2024-05-11,normal
ACC718226,ACC326895,36222,RTGS,2024-08-21,normal
ACC718226,ACC326895,136000,RTGS,2023-04-18,normal
ACC718226,ACC326895,4550,NEFT,2022-12-11,normal
ACC713762,ACC326895,130887,UPI,2025-11-06,normal
ACC326895,ACC718226,107724,UPI,2024-07-17,normal
ACC478411,ACC282256,41916,UPI,2023-04-27,normal
ACC899787,ACC326895,121733,RTGS,2025-04-06,normal
ACC168517,ACC326895,66210,NEFT,2022-03-25,normal
ACC326895,ACC836996,27370,RTGS,2023-05-16,normal
ACC142185,ACC114835,10829,Cash Deposit,2024-12-23,normal
ACC326895,ACC522060,113992,Cash Deposit,2022-05-21,normal
ACC478411,ACC644173,30068,NEFT,2025-06-27,normal
ACC326895,ACC522060,56912,NEFT,2023-09-22,normal
ACC326895,ACC342720,6506,Cash Deposit,2024-03-29,normal
ACC836996,ACC114835,83515,RTGS,2025-06-05,normal
ACC713762,ACC326895,18379,UPI,2025-12-02,normal
ACC185131,ACC326895,76683,RTGS,2025-07-26,normal
ACC342720,ACC478411,102250,Cash Deposit,2025-02-03,normal
ACC522060,ACC326895,125773,RTGS,2022-02-10,normal
ACC273982,ACC114835,3156,NEFT,2024-09-10,normal
ACC326895,ACC205409,139017,UPI,2023-06-13,normal
ACC718226,ACC326895,31492,UPI,2025-06-23,normal
ACC326895,ACC332360,30085,NEFT,2024-05-20,normal
ACC326895,ACC901577,26503,Cash Deposit,2022-01-07,normal
ACC326895,ACC713762,130603,RTGS,2024-11-01,normal
ACC326895,ACC478411,13957,RTGS,2025-10-07,normal
ACC836996,ACC478411,71094,RTGS,2025-08-28,normal
ACC326895,ACC168517,82450,NEFT,2023-04-13,normal
ACC478411,ACC878967,47287,Cash Deposit,2023-11-12,normal
ACC528361,ACC114835,140432,UPI,2024-04-04,normal
ACC522060,ACC326895,137317,NEFT,2023-09-07,normal
ACC751194,ACC478411,56230,RTGS,2022-10-22,normal
ACC326895,ACC899787,99128,Cash Deposit,2023-04-27,normal
ACC889359,ACC326895,4315,UPI,2023-10-06,normal
ACC326895,ACC342720,70071,UPI,2022-10-29,normal
ACC326895,ACC321275,47990,UPI,2025-08-10,normal
ACC332360,ACC326895,29149,NEFT,2024-05-20,normal
ACC326895,ACC522060,48968,NEFT,2023-01-19,normal
ACC114835,ACC326895,12312,NEFT,2023-12-03,normal
ACC326895,ACC301939,93696,Cash Deposit,2025-06-15,normal
ACC205409,ACC326895,130254,Cash Deposit,2023-06-27,normal
ACC326895,ACC878967,45980,Cash Deposit,2023-05-17,normal
ACC718226,ACC326895,44784,RTGS,2025-04-27,normal
ACC326895,ACC342720,72307,NEFT,2025-08-05,normal
ACC717113,ACC326895,119004,UPI,2022-06-05,normal
ACC796212,ACC478411,107062,RTGS,2022-09-20,normal
ACC326895,ACC796212,39189,NEFT,2025-12-07,normal
ACC717113,ACC326895,35252,Cash Deposit,2024-02-06,normal
ACC321275,ACC326895,86236,NEFT,2025-12-05,normal
ACC342720,ACC114835,147607,UPI,2022-11-22,normal
ACC326895,ACC718226,29863,UPI,2024-12-28,normal
ACC326895,ACC718226,77359,UPI,2025-03-12,normal
ACC889359,ACC326895,127098,NEFT,2023-08-07,normal
ACC332360,ACC326895,21627,NEFT,2022-04-13,normal
ACC717113,ACC326895,54636,UPI,2025-01-08,normal
ACC142185,ACC326895,3517,NEFT,2025-11-24,normal
ACC751194,ACC114835,96899,RTGS,2024-09-03,normal
ACC326895,ACC522060,84038,Cash Deposit,2024-09-13,normal
ACC878967,ACC114835,75014,Cash Deposit,2023-04-26,normal
ACC326895,ACC760021,138983,Cash Deposit,2023-06-21,normal
ACC326895,ACC332360,100350,RTGS,2022-06-18,normal
ACC522060,ACC326895,67006,Cash Deposit,2024-06-28,normal
ACC114835,ACC717113,57309,RTGS,2022-02-15,normal
ACC326895,ACC528361,14239,RTGS,2024-03-04,normal
ACC901577,ACC114835,118072,RTGS,2022-03-02,normal
ACC114835,ACC326895,18041,RTGS,2022-05-23,normal
ACC751194,ACC326895,16235,UPI,2025-11-29,normal
ACC751194,ACC326895,39202,NEFT,2025-09-01,normal
ACC718226,ACC326895,119641,NEFT,2022-04-05,normal
ACC114835,ACC360247,110689,UPI,2025-01-31,normal
ACC326895,ACC836996,16894,UPI,2025-07-25,normal
ACC326895,ACC396451,102004,UPI,2025-07-14,normal
ACC326895,ACC478411,119665,UPI,2022-01-02,normal
ACC326895,ACC282256,141667,Cash Deposit,2024-06-19,normal
ACC478411,ACC396451,140658,Cash Deposit,2024-04-15,normal
ACC142185,ACC326895,139477,UPI,2024-03-03,normal
ACC326895,ACC522060,100816,UPI,2025-06-03,normal
ACC796212,ACC326895,140380,NEFT,2023-01-24,normal
ACC522060,ACC478411,43882,UPI,2025-09-28,normal
ACC326895,ACC522060,10121,RTGS,2025-03-13,normal
ACC326895,ACC321275,85358,NEFT,2023-04-07,normal
ACC950544,ACC326895,122487,UPI,2022-03-24,normal
ACC718226,ACC326895,79050,Cash Deposit,2023-09-28,normal
ACC876039,ACC326895,32663,NEFT,2024-03-26,normal
ACC332360,ACC326895,5303,Cash Deposit,2023-09-30,normal
ACC114835,ACC878967,12461,Cash Deposit,2023-05-04,normal
ACC321275,ACC326895,55404,Cash Deposit,2023-04-30,normal
ACC522060,ACC326895,87646,RTGS,2025-12-10,normal
ACC114835,ACC332360,105759,RTGS,2023-05-04,normal
ACC522060,ACC478411,35886,NEFT,2024-12-23,normal
ACC332360,ACC326895,13482,NEFT,2025-04-28,normal
ACC751194,ACC326895,73658,UPI,2025-07-14,normal
ACC326895,ACC522060,76184,RTGS,2023-11-08,normal
ACC899787,ACC478411,63534,NEFT,2024-04-16,normal
ACC332360,ACC478411,54179,NEFT,2025-10-26,normal
ACC332360,ACC326895,25636,RTGS,2024-05-16,normal
ACC717113,ACC478411,48987,Cash Deposit,2023-06-08,normal
