FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC321275,ACC360247,43664,Cash Deposit,2023-06-28,suspicious
ACC360247,ACC142185,39298,NEFT,2023-10-10,suspicious
ACC282256,ACC168517,59579,Cash Deposit,2024-07-04,suspicious
ACC168517,ACC332360,53621,NEFT,2022-01-27,suspicious
ACC751194,ACC360247,44466,NEFT,2024-04-28,normal
ACC153872,ACC332360,132784,RTGS,2023-09-22,normal
ACC718226,ACC168517,23452,Cash Deposit,2022-10-08,normal
ACC153872,ACC332360,15690,NEFT,2024-12-19,normal
ACC326895,ACC950544,9939,UPI,2023-04-01,normal
ACC950544,ACC760021,47896,NEFT,2025-02-14,normal
ACC168517,ACC396451,136180,NEFT,2022-04-13,normal
ACC950544,ACC522060,95386,RTGS,2024-05-20,normal
ACC185131,ACC153872,101326,RTGS,2022-11-29,normal
ACC168517,ACC717113,141274,Cash Deposit,2023-04-25,normal
ACC522060,ACC153872,14319,Cash Deposit,2024-01-29,normal
ACC282256,ACC360247,7417,NEFT,2024-08-09,normal
ACC153872,ACC326895,89637,RTGS,2024-03-01,normal
ACC326895,ACC168517,50742,Cash Deposit,2024-01-02,normal
ACC876039,ACC153872,140639,UPI,2025-03-31,normal
ACC878967,ACC360247,74933,RTGS,2025-06-10,normal
ACC718226,ACC168517,5650,NEFT,2023-05-30,normal
ACC796212,ACC360247,15531,UPI,2022-03-14,normal
ACC718226,ACC950544,28009,RTGS,2025-11-09,normal
ACC326895,ACC168517,41140,RTGS,2025-01-23,normal
ACC153872,ACC751194,16703,NEFT,2022-11-07,normal
ACC168517,ACC718226,17710,RTGS,2022-07-16,normal
ACC168517,ACC332360,69327,UPI,2023-09-20,normal
ACC717113,ACC168517,36243,RTGS,2022-06-25,normal
ACC332360,ACC950544,25588,Cash Deposit,2022-09-06,normal
ACC168517,ACC326895,66210,NEFT,2022-03-25,normal
ACC950544,ACC717113,77755,UPI,2022-01-03,normal
ACC950544,ACC600935,9765,UPI,2022-07-03,normal
ACC360247,ACC878967,85322,UPI,2022-07-27,normal
ACC713762,ACC950544,111656,RTGS,2025-12-11,normal
ACC950544,ACC522060,78926,RTGS,2024-08-27,normal
ACC760021,ACC168517,80993,UPI,2022-10-26,normal
ACC360247,ACC600935,2660,RTGS,2025-10-01,normal
ACC185131,ACC360247,74673,RTGS,2025-04-16,normal
ACC360247,ACC713762,108208,NEFT,2023-06-16,normal
ACC796212,ACC153872,14975,NEFT,2022-06-14,normal
ACC141797,ACC168517,32612,NEFT,2023-05-08,normal
ACC360247,ACC321275,7933,UPI,2024-08-25,normal
ACC168517,ACC836996,53895,Cash Deposit,2024-09-20,normal
ACC153872,ACC332360,55365,RTGS,2022-05-06,normal
ACC360247,ACC717113,62261,NEFT,2024-09-12,normal
ACC326895,ACC168517,82450,NEFT,2023-04-13,normal
ACC153872,ACC889359,37679,RTGS,2022-01-22,normal
ACC396451,ACC950544,139184,UPI,2024-03-16,normal
ACC168517,ACC717113,23969,RTGS,2023-11-02,normal
ACC168517,ACC522060,36141,UPI,2024-07-21,normal
ACC168517,ACC836996,21663,Cash Deposit,2024-08-09,normal
ACC751194,ACC168517,33638,NEFT,2024-10-04,normal
ACC522060,ACC153872,7066,NEFT,2023-03-19,normal
ACC360247,ACC142185,10522,Cash Deposit,2024-03-25,normal
ACC168517,ACC718226,99437,UPI,2023-07-24,normal
ACC185131,ACC360247,143947,Cash Deposit,2022-12-18,normal
ACC168517,ACC751194,46114,Cash Deposit,2024-01-13,normal
ACC153872,ACC901577,51467,Cash Deposit,2025-04-21,normal
