FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC889359,ACC717113,133767,NEFT,2024-09-09,normal
ACC332360,ACC717113,55489,Cash Deposit,2024-05-25,normal
ACC717113,ACC889359,127222,Cash Deposit,2022-10-08,normal
ACC340044,ACC528361,50296,NEFT,2023-01-06,normal
ACC717113,ACC718226,58480,Cash Deposit,2025-07-24,normal
ACC717113,ACC901577,86208,Cash Deposit,2025-02-08,normal
ACC878967,ACC717113,82025,Cash Deposit,2022-12-15,normal
ACC205409,ACC717113,69718,RTGS,2024-07-06,normal
ACC717113,ACC321275,122445,Cash Deposit,2023-02-13,normal
ACC326895,ACC717113,49767,NEFT,2024-05-24,normal
ACC717113,ACC332360,83367,UPI,2023-04-05,normal
ACC168517,ACC717113,141274,Cash Deposit,2023-04-25,normal
ACC717113,ACC340044,122015,Cash Deposit,2025-04-08,normal
ACC342720,ACC717113,130892,NEFT,2025-01-08,normal
ACC528361,ACC876039,53159,RTGS,2022-09-17,normal
ACC326895,ACC528361,38663,NEFT,2024-06-19,normal
ACC717113,ACC321275,89520,Cash Deposit,2025-01-20,normal
ACC522060,ACC717113,123065,UPI,2023-10-25,normal
ACC717113,ACC396451,7664,RTGS,2025-03-24,normal
ACC717113,ACC332360,131839,Cash Deposit,2024-04-03,normal
ACC528361,ACC522060,93908,UPI,2022-08-18,normal
ACC522060,ACC528361,142938,UPI,2024-07-18,normal
ACC717113,ACC889359,146912,NEFT,2025-02-20,normal
ACC342720,ACC528361,73038,UPI,2022-03-13,normal
ACC522060,ACC717113,17596,RTGS,2025-06-26,normal
ACC142185,ACC717113,4615,RTGS,2023-11-26,normal
ACC301939,ACC717113,6036,Cash Deposit,2022-10-23,normal
ACC717113,ACC326895,49875,Cash Deposit,2024-05-11,normal
ACC717113,ACC718226,102208,UPI,2022-03-17,normal
ACC836996,ACC717113,30951,NEFT,2023-10-17,normal
ACC717113,ACC168517,36243,RTGS,2022-06-25,normal
ACC717113,ACC185131,35517,Cash Deposit,2023-02-09,normal
ACC836996,ACC717113,140355,Cash Deposit,2024-04-20,normal
ACC528361,ACC332360,7405,RTGS,2022-02-07,normal
ACC282256,ACC717113,103765,Cash Deposit,2022-01-19,normal
ACC332360,ACC717113,137017,UPI,2023-07-22,normal
ACC528361,ACC718226,109771,RTGS,2022-03-03,normal
ACC950544,ACC717113,77755,UPI,2022-01-03,normal
ACC332360,ACC717113,59426,Cash Deposit,2022-04-24,normal
ACC142185,ACC528361,69777,RTGS,2023-10-02,normal
ACC142185,ACC717113,117849,RTGS,2024-04-17,normal
ACC522060,ACC717113,95396,Cash Deposit,2022-12-02,normal
ACC396451,ACC717113,25053,NEFT,2022-09-11,normal
ACC876039,ACC717113,53266,NEFT,2025-01-24,normal
ACC321275,ACC717113,134444,NEFT,2024-02-28,normal
ACC528361,ACC901577,13950,RTGS,2022-08-03,normal
ACC717113,ACC836996,97597,UPI,2025-11-28,normal
ACC717113,ACC718226,78764,NEFT,2024-10-27,normal
ACC528361,ACC321275,103747,Cash Deposit,2025-12-01,normal
ACC718226,ACC528361,31141,NEFT,2022-10-08,normal
ACC528361,ACC760021,27811,Cash Deposit,2023-12-01,normal
ACC360247,ACC717113,62261,NEFT,2024-09-12,normal
ACC528361,ACC114835,140432,UPI,2024-04-04,normal
ACC168517,ACC717113,23969,RTGS,2023-11-02,normal
ACC717113,ACC522060,117492,Cash Deposit,2022-11-24,normal
ACC836996,ACC717113,60947,RTGS,2022-09-18,normal
ACC878967,ACC717113,103611,Cash Deposit,2023-04-01,normal
ACC717113,ACC273982,120913,Cash Deposit,2022-12-07,normal
ACC878967,ACC528361,99361,UPI,2023-09-05,normal
ACC717113,ACC718226,144138,NEFT,2025-03-18,normal
ACC717113,ACC878967,43124,UPI,2023-12-15,normal
ACC717113,ACC273982,148869,UPI,2023-08-07,normal
ACC717113,ACC528361,66383,UPI,2023-01-30,normal
ACC878967,ACC717113,118478,RTGS,2023-11-14,normal
ACC717113,ACC522060,91626,NEFT,2025-06-28,normal
ACC717113,ACC326895,119004,UPI,2022-06-05,normal
ACC332360,ACC717113,141734,Cash Deposit,2023-07-05,normal
ACC717113,ACC326895,35252,Cash Deposit,2024-02-06,normal
ACC717113,ACC185131,3946,RTGS,2023-09-12,normal
ACC717113,ACC332360,91205,Cash Deposit,2024-08-14,normal
ACC522060,ACC717113,25760,UPI,2022-12-14,normal
ACC717113,ACC342720,111446,UPI,2024-03-18,normal
ACC717113,ACC326895,54636,UPI,2025-01-08,normal
ACC396451,ACC717113,49201,NEFT,2025-07-01,normal
ACC528361,ACC878967,72429,RTGS,2023-12-09,normal
ACC153872,ACC528361,4825,Cash Deposit,2022-12-05,normal
ACC342720,ACC717113,10520,UPI,2025-04-06,normal
ACC168517,ACC717113,109627,Cash Deposit,2022-07-12,normal
ACC141797,ACC717113,66394,NEFT,2023-03-09,normal
ACC114835,ACC717113,57309,RTGS,2022-02-15,normal
ACC528361,ACC153872,134924,Cash Deposit,2024-06-01,normal
