FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC321275,ACC360247,43664,Cash Deposit,2023-06-28,suspicious
ACC360247,ACC142185,39298,NEFT,2023-10-10,suspicious
ACC142185,ACC321275,34931,UPI,2025-05-23,suspicious
ACC901577,ACC142185,71058,RTGS,2025-06-21,suspicious
ACC142185,ACC644173,63952,NEFT,2023-06-21,suspicious
ACC644173,ACC901577,56846,Cash Deposit,2025-02-07,suspicious
ACC282256,ACC168517,59579,Cash Deposit,2024-07-04,suspicious
ACC168517,ACC332360,53621,NEFT,2022-01-27,suspicious
ACC751194,ACC360247,44466,NEFT,2024-04-28,normal
ACC718226,ACC168517,23452,Cash Deposit,2022-10-08,normal
ACC717113,ACC901577,86208,Cash Deposit,2025-02-08,normal
ACC326895,ACC950544,9939,UPI,2023-04-01,normal
ACC950544,ACC760021,47896,NEFT,2025-02-14,normal
ACC168517,ACC396451,136180,NEFT,2022-04-13,normal
ACC950544,ACC522060,95386,RTGS,2024-05-20,normal
ACC168517,ACC717113,141274,Cash Deposit,2023-04-25,normal
ACC889359,ACC901577,99238,Cash Deposit,2024-10-01,normal
ACC282256,ACC360247,7417,NEFT,2024-08-09,normal
ACC326895,ACC168517,50742,Cash Deposit,2024-01-02,normal
ACC876039,ACC901577,37486,UPI,2024-10-01,normal
ACC878967,ACC360247,74933,RTGS,2025-06-10,normal
ACC142185,ACC326895,63351,RTGS,2023-03-16,normal
ACC718226,ACC168517,5650,NEFT,2023-05-30,normal
ACC901577,ACC600935,148281,UPI,2024-08-30,normal
ACC796212,ACC360247,15531,UPI,2022-03-14,normal
ACC718226,ACC950544,28009,RTGS,2025-11-09,normal
ACC326895,ACC168517,41140,RTGS,2025-01-23,normal
ACC142185,ACC717113,4615,RTGS,2023-11-26,normal
ACC168517,ACC718226,17710,RTGS,2022-07-16,normal
ACC168517,ACC332360,69327,UPI,2023-09-20,normal
ACC142185,ACC141797,6461,Cash Deposit,2025-04-09,normal
ACC901577,ACC396451,136662,RTGS,2025-10-13,normal
ACC273982,ACC901577,25218,NEFT,2025-03-02,normal
ACC717113,ACC168517,36243,RTGS,2022-06-25,normal
ACC332360,ACC950544,25588,Cash Deposit,2022-09-06,normal
ACC168517,ACC326895,66210,NEFT,2022-03-25,normal
ACC751194,ACC901577,98830,Cash Deposit,2025-11-22,normal
ACC950544,ACC717113,77755,UPI,2022-01-03,normal
ACC142185,ACC114835,10829,Cash Deposit,2024-12-23,normal
ACC713762,ACC901577,38566,Cash Deposit,2025-02-03,normal
ACC950544,ACC600935,9765,UPI,2022-07-03,normal
ACC142185,ACC528361,69777,RTGS,2023-10-02,normal
ACC142185,ACC718226,41033,UPI,2023-06-16,normal
ACC718226,ACC142185,23777,RTGS,2024-10-02,normal
ACC360247,ACC878967,85322,UPI,2022-07-27,normal
ACC713762,ACC950544,111656,RTGS,2025-12-11,normal
ACC342720,ACC142185,36084,NEFT,2023-07-20,normal
ACC142185,ACC717113,117849,RTGS,2024-04-17,normal
ACC950544,ACC522060,78926,RTGS,2024-08-27,normal
ACC760021,ACC168517,80993,UPI,2022-10-26,normal
ACC142185,ACC301939,90153,RTGS,2025-07-28,normal
ACC360247,ACC600935,2660,RTGS,2025-10-01,normal
ACC185131,ACC360247,74673,RTGS,2025-04-16,normal
ACC360247,ACC713762,108208,NEFT,2023-06-16,normal
ACC141797,ACC168517,32612,NEFT,2023-05-08,normal
ACC528361,ACC901577,13950,RTGS,2022-08-03,normal
ACC332360,ACC142185,91319,Cash Deposit,2023-04-03,normal
