FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC141797,ACC185131,82816,NEFT,2022-12-17,suspicious
ACC332360,ACC141797,66253,UPI,2024-03-27,suspicious
ACC876039,ACC340044,69024,UPI,2022-01-02,suspicious
ACC340044,ACC326895,62122,NEFT,2025-09-25,suspicious
ACC796212,ACC522060,95294,UPI,2025-08-14,normal
ACC522060,ACC341736,62535,Cash Deposit,2023-07-10,normal
ACC340044,ACC528361,50296,NEFT,2023-01-06,normal
ACC522060,ACC718226,77647,Cash Deposit,2025-11-03,normal
ACC341736,ACC522060,28582,NEFT,2024-04-11,normal
ACC718226,ACC522060,55260,Cash Deposit,2022-03-17,normal
ACC332360,ACC522060,115978,Cash Deposit,2023-01-12,normal
ACC147726,ACC522060,57759,UPI,2023-11-02,normal
ACC950544,ACC522060,95386,RTGS,2024-05-20,normal
ACC326895,ACC522060,15804,NEFT,2025-06-02,normal
ACC717113,ACC340044,122015,Cash Deposit,2025-04-08,normal
ACC522060,ACC600935,88026,Cash Deposit,2025-04-04,normal
ACC141797,ACC326895,88174,Cash Deposit,2022-07-22,normal
ACC718226,ACC141797,4977,UPI,2022-02-16,normal
ACC522060,ACC153872,14319,Cash Deposit,2024-01-29,normal
ACC301939,ACC522060,112876,UPI,2025-04-13,normal
ACC522060,ACC713762,82576,Cash Deposit,2022-10-03,normal
ACC522060,ACC889359,98132,Cash Deposit,2025-07-20,normal
ACC141797,ACC718226,138639,RTGS,2022-06-18,normal
ACC522060,ACC717113,123065,UPI,2023-10-25,normal
ACC718226,ACC522060,80541,Cash Deposit,2024-04-18,normal
ACC341736,ACC522060,28856,Cash Deposit,2023-06-24,normal
ACC899787,ACC522060,2942,UPI,2025-03-12,normal
ACC528361,ACC522060,93908,UPI,2022-08-18,normal
ACC522060,ACC528361,142938,UPI,2024-07-18,normal
ACC522060,ACC341736,71699,NEFT,2023-02-07,normal
ACC340044,ACC718226,136388,RTGS,2025-07-28,normal
ACC522060,ACC717113,17596,RTGS,2025-06-26,normal
ACC522060,ACC321275,75224,NEFT,2024-04-14,normal
ACC326895,ACC522060,72746,UPI,2022-06-18,normal
ACC142185,ACC141797,6461,Cash Deposit,2025-04-09,normal
ACC718226,ACC340044,12242,UPI,2024-10-29,normal
ACC522060,ACC205409,88206,UPI,2022-01-04,normal
ACC522060,ACC332360,97163,Cash Deposit,2023-02-21,normal
ACC718226,ACC340044,67636,Cash Deposit,2023-08-04,normal
ACC522060,ACC889359,40868,NEFT,2022-04-20,normal
ACC522060,ACC600935,95981,UPI,2025-07-28,normal
ACC326895,ACC522060,113992,Cash Deposit,2022-05-21,normal
ACC522060,ACC644173,111828,Cash Deposit,2023-03-25,normal
ACC522060,ACC876039,50043,RTGS,2024-03-18,normal
ACC950544,ACC522060,78926,RTGS,2024-08-27,normal
ACC522060,ACC751194,17752,UPI,2025-08-01,normal
ACC326895,ACC522060,56912,NEFT,2023-09-22,normal
ACC522060,ACC717113,95396,Cash Deposit,2022-12-02,normal
ACC332360,ACC340044,132199,NEFT,2022-10-19,normal
ACC141797,ACC168517,32612,NEFT,2023-05-08,normal
ACC522060,ACC301939,95003,NEFT,2025-11-01,normal
ACC876039,ACC522060,102715,RTGS,2023-05-30,normal
ACC522060,ACC332360,111897,NEFT,2025-02-20,normal
ACC522060,ACC332360,77181,NEFT,2025-01-25,normal
ACC522060,ACC760021,5861,Cash Deposit,2022-12-14,normal
ACC522060,ACC326895,125773,RTGS,2022-02-10,normal
ACC796212,ACC522060,100843,Cash Deposit,2024-09-02,normal
ACC522060,ACC836996,125852,Cash Deposit,2023-05-21,normal
