FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC901577,ACC142185,71058,RTGS,2025-06-21,suspicious
ACC644173,ACC901577,56846,Cash Deposit,2025-02-07,suspicious
ACC153872,ACC332360,132784,RTGS,2023-09-22,normal
ACC760021,ACC889359,72962,UPI,2025-01-02,normal
ACC717113,ACC901577,86208,Cash Deposit,2025-02-08,normal
ACC153872,ACC332360,15690,NEFT,2024-12-19,normal
ACC718226,ACC600935,97976,UPI,2025-07-31,normal
ACC950544,ACC760021,47896,NEFT,2025-02-14,normal
ACC185131,ACC153872,101326,RTGS,2022-11-29,normal
ACC889359,ACC901577,99238,Cash Deposit,2024-10-01,normal
ACC522060,ACC600935,88026,Cash Deposit,2025-04-04,normal
ACC326895,ACC760021,115879,NEFT,2025-01-03,normal
ACC522060,ACC153872,14319,Cash Deposit,2024-01-29,normal
ACC153872,ACC326895,89637,RTGS,2024-03-01,normal
ACC600935,ACC326895,9385,RTGS,2022-11-21,normal
ACC876039,ACC901577,37486,UPI,2024-10-01,normal
ACC876039,ACC153872,140639,UPI,2025-03-31,normal
ACC760021,ACC326895,125179,Cash Deposit,2024-06-26,normal
ACC901577,ACC600935,148281,UPI,2024-08-30,normal
ACC153872,ACC751194,16703,NEFT,2022-11-07,normal
ACC282256,ACC600935,21810,RTGS,2025-09-03,normal
ACC760021,ACC326895,8540,Cash Deposit,2023-06-04,normal
ACC332360,ACC600935,80671,NEFT,2025-02-15,normal
ACC901577,ACC396451,136662,RTGS,2025-10-13,normal
ACC341736,ACC600935,17410,Cash Deposit,2022-01-20,normal
ACC273982,ACC901577,25218,NEFT,2025-03-02,normal
ACC751194,ACC901577,98830,Cash Deposit,2025-11-22,normal
ACC760021,ACC332360,70702,Cash Deposit,2025-11-11,normal
ACC522060,ACC600935,95981,UPI,2025-07-28,normal
ACC713762,ACC901577,38566,Cash Deposit,2025-02-03,normal
ACC950544,ACC600935,9765,UPI,2022-07-03,normal
ACC760021,ACC168517,80993,UPI,2022-10-26,normal
ACC360247,ACC600935,2660,RTGS,2025-10-01,normal
ACC796212,ACC153872,14975,NEFT,2022-06-14,normal
ACC282256,ACC760021,27926,RTGS,2025-04-22,normal
ACC528361,ACC901577,13950,RTGS,2022-08-03,normal
ACC901577,ACC876039,118297,NEFT,2024-12-06,normal
ACC600935,ACC342720,16742,RTGS,2023-04-10,normal
ACC342720,ACC600935,42534,UPI,2022-09-23,normal
ACC522060,ACC760021,5861,Cash Deposit,2022-12-14,normal
ACC326895,ACC901577,26503,Cash Deposit,2022-01-07,normal
ACC528361,ACC760021,27811,Cash Deposit,2023-12-01,normal
ACC342720,ACC600935,11615,NEFT,2024-01-04,normal
ACC153872,ACC332360,55365,RTGS,2022-05-06,normal
ACC760021,ACC718226,122329,UPI,2025-10-07,normal
ACC153872,ACC889359,37679,RTGS,2022-01-22,normal
ACC185131,ACC760021,123470,Cash Deposit,2024-10-20,normal
ACC522060,ACC153872,7066,NEFT,2023-03-19,normal
ACC147726,ACC600935,68533,RTGS,2023-07-27,normal
ACC760021,ACC889359,102192,UPI,2025-03-22,normal
ACC153872,ACC901577,51467,Cash Deposit,2025-04-21,normal
ACC522060,ACC153872,37226,RTGS,2024-04-19,normal
ACC901577,ACC153872,71889,NEFT,2023-07-02,normal
ACC153872,ACC528361,4825,Cash Deposit,2022-12-05,normal
ACC718226,ACC600935,53867,RTGS,2024-11-22,normal
ACC326895,ACC760021,138983,Cash Deposit,2023-06-21,normal
ACC153872,ACC141797,45761,NEFT,2025-03-27,normal
ACC600935,ACC396451,33520,UPI,2025-01-27,normal
ACC528361,ACC153872,134924,Cash Deposit,2024-06-01,normal
ACC522060,ACC760021,128242,NEFT,2024-03-29,normal
ACC901577,ACC114835,118072,RTGS,2022-03-02,normal
ACC273982,ACC153872,2522,Cash Deposit,2024-01-24,normal
ACC147726,ACC760021,3462,RTGS,2024-03-02,normal
ACC717113,ACC600935,74249,NEFT,2022-07-01,normal
ACC341736,ACC901577,141036,NEFT,2022-10-01,normal
ACC718226,ACC901577,127163,RTGS,2024-03-29,normal
ACC321275,ACC153872,51097,RTGS,2024-02-02,normal
ACC600935,ACC332360,143596,Cash Deposit,2024-06-09,normal
ACC901577,ACC717113,34794,NEFT,2025-03-10,normal
ACC153872,ACC147726,28346,RTGS,2024-12-13,normal
ACC332360,ACC760021,131988,UPI,2023-02-07,normal
ACC889359,ACC153872,142127,UPI,2024-05-01,normal
ACC718226,ACC901577,22723,Cash Deposit,2022-07-15,normal
ACC522060,ACC153872,73106,RTGS,2025-06-22,normal
ACC141797,ACC901577,106684,Cash Deposit,2025-11-02,normal
ACC901577,ACC718226,106684,UPI,2023-05-09,normal
ACC168517,ACC901577,119551,UPI,2022-01-13,normal
ACC301939,ACC760021,131772,Cash Deposit,2022-04-18,normal
ACC153872,ACC717113,112519,NEFT,2024-04-11,normal
ACC141797,ACC760021,124536,UPI,2024-08-14,normal
ACC141797,ACC153872,56351,Cash Deposit,2025-02-17,normal
ACC878967,ACC760021,81753,Cash Deposit,2022-10-05,normal
ACC717113,ACC760021,60398,Cash Deposit,2025-03-19,normal
ACC600935,ACC360247,122658,Cash Deposit,2024-01-13,normal
ACC522060,ACC153872,2652,RTGS,2024-02-26,normal
ACC901577,ACC718226,135674,RTGS,2025-05-31,normal
ACC901577,ACC153872,55834,NEFT,2024-12-11,normal
ACC282256,ACC901577,145346,UPI,2022-07-24,normal
ACC153872,ACC341736,128103,UPI,2022-10-28,normal
ACC717113,ACC153872,14116,Cash Deposit,2023-05-12,normal
ACC205409,ACC153872,129621,UPI,2024-06-24,normal
ACC901577,ACC751194,129678,NEFT,2023-07-03,normal
ACC889359,ACC153872,90256,UPI,2022-01-27,normal
ACC478411,ACC600935,100973,RTGS,2024-04-30,normal
ACC760021,ACC889359,26840,UPI,2024-11-18,normal
ACC901577,ACC796212,108270,Cash Deposit,2025-07-16,normal
ACC760021,ACC889359,8850,NEFT,2024-04-25,normal
ACC901577,ACC341736,74115,UPI,2025-03-21,normal
ACC600935,ACC282256,80793,UPI,2022-01-24,normal
ACC153872,ACC876039,109923,UPI,2025-10-28,normal
ACC522060,ACC901577,71547,NEFT,2022-07-01,normal
ACC147726,ACC901577,10645,NEFT,2022-05-29,normal
ACC340044,ACC600935,144292,Cash Deposit,2025-05-08,normal
ACC717113,ACC760021,59909,NEFT,2022-04-30,normal
ACC205409,ACC760021,40179,RTGS,2023-01-13,normal
ACC760021,ACC836996,94058,UPI,2025-09-12,normal
ACC901577,ACC718226,142522,RTGS,2023-07-23,normal
ACC153872,ACC396451,61814,NEFT,2024-02-03,normal
ACC717113,ACC600935,64983,UPI,2022-03-01,normal
ACC901577,ACC142185,131233,Cash Deposit,2024-02-02,normal
ACC153872,ACC718226,118405,NEFT,2022-03-30,normal
ACC147726,ACC901577,80339,NEFT,2025-04-18,normal
ACC342720,ACC760021,49277,NEFT,2023-10-24,normal
ACC600935,ACC522060,9548,UPI,2024-02-26,normal
ACC332360,ACC153872,39388,NEFT,2023-04-10,normal
ACC153872,ACC342720,33003,Cash Deposit,2025-06-13,normal
ACC760021,ACC717113,37898,NEFT,2024-02-05,normal
ACC718226,ACC901577,39753,UPI,2023-05-13,normal
ACC153872,ACC185131,42910,NEFT,2025-11-21,normal
ACC760021,ACC282256,24490,UPI,2025-11-29,normal
ACC718226,ACC760021,53664,NEFT,2022-03-28,normal
ACC153872,ACC168517,120175,Cash Deposit,2025-01-29,normal
ACC889359,ACC153872,41308,Cash Deposit,2025-01-22,normal
ACC901577,ACC717113,56530,UPI,2022-01-09,normal
ACC522060,ACC600935,127564,RTGS,2024-02-26,normal
ACC114835,ACC153872,79593,RTGS,2022-03-25,normal
ACC326895,ACC600935,54505,UPI,2025-11-23,normal
ACC760021,ACC341736,93396,UPI,2025-02-21,normal
ACC718226,ACC760021,56268,RTGS,2024-01-04,normal
ACC600935,ACC796212,68099,UPI,2024-02-27,normal
ACC713762,ACC760021,35694,NEFT,2023-08-18,normal
