FROM_ACCOUNT,TO_ACCOUNT,AMOUNT,TYPE,DATE,FLAG
ACC396451,ACC836996,92456,NEFT,2023-08-17,suspicious
ACC836996,ACC185131,83210,UPI,2022-02-07,suspicious
ACC796212,ACC522060,95294,UPI,2025-08-14,normal
ACC796212,ACC326895,52222,Cash Deposit,2024-06-16,normal
ACC796212,ACC273982,62754,UPI,2024-12-30,normal
ACC796212,ACC899787,16773,UPI,2022-01-07,normal
ACC836996,ACC342720,122912,Cash Deposit,2022-09-01,normal
ACC899787,ACC836996,141530,Cash Deposit,2025-05-04,normal
ACC644173,ACC796212,49769,NEFT,2023-03-22,normal
ACC396451,ACC836996,101570,UPI,2023-08-18,normal
ACC796212,ACC326895,72968,UPI,2024-01-31,normal
ACC796212,ACC360247,15531,UPI,2022-03-14,normal
ACC796212,ACC326895,101791,NEFT,2025-03-05,normal
ACC713762,ACC836996,45826,NEFT,2025-01-25,normal
ACC836996,ACC717113,30951,NEFT,2023-10-17,normal
ACC836996,ACC717113,140355,Cash Deposit,2024-04-20,normal
ACC836996,ACC396451,8066,NEFT,2025-04-02,normal
ACC326895,ACC836996,27370,RTGS,2023-05-16,normal
ACC332360,ACC796212,24324,NEFT,2023-10-14,normal
ACC796212,ACC332360,71334,Cash Deposit,2024-12-26,normal
ACC718226,ACC796212,28412,UPI,2022-03-31,normal
ACC796212,ACC273982,99273,UPI,2023-09-29,normal
ACC836996,ACC114835,83515,RTGS,2025-06-05,normal
ACC796212,ACC153872,14975,NEFT,2022-06-14,normal
ACC836996,ACC147726,113870,NEFT,2022-02-26,normal
ACC168517,ACC836996,53895,Cash Deposit,2024-09-20,normal
ACC717113,ACC836996,97597,UPI,2025-11-28,normal
ACC796212,ACC332360,32261,Cash Deposit,2024-04-12,normal
ACC796212,ACC522060,100843,Cash Deposit,2024-09-02,normal
ACC332360,ACC836996,74387,RTGS,2024-10-18,normal
ACC522060,ACC836996,125852,Cash Deposit,2023-05-21,normal
ACC718226,ACC796212,63396,Cash Deposit,2025-04-27,normal
ACC836996,ACC478411,71094,RTGS,2025-08-28,normal
ACC168517,ACC836996,21663,Cash Deposit,2024-08-09,normal
ACC836996,ACC718226,146831,UPI,2024-04-07,normal
ACC836996,ACC717113,60947,RTGS,2022-09-18,normal
ACC836996,ACC522060,72638,NEFT,2023-07-08,normal
ACC796212,ACC478411,107062,RTGS,2022-09-20,normal
ACC326895,ACC796212,39189,NEFT,2025-12-07,normal
ACC836996,ACC899787,111572,RTGS,2022-04-23,normal
ACC342720,ACC836996,69888,NEFT,2023-08-03,normal
ACC522060,ACC796212,146304,NEFT,2024-06-22,normal
ACC836996,ACC301939,86635,UPI,2023-02-22,normal
ACC326895,ACC836996,16894,UPI,2025-07-25,normal
ACC836996,ACC522060,120428,UPI,2024-10-17,normal
ACC332360,ACC836996,68796,UPI,2024-12-11,normal
ACC796212,ACC326895,140380,NEFT,2023-01-24,normal
ACC522060,ACC836996,74428,UPI,2022-02-07,normal
ACC796212,ACC876039,40078,RTGS,2024-03-09,normal
ACC796212,ACC718226,74267,Cash Deposit,2025-02-07,normal
ACC751194,ACC836996,107716,Cash Deposit,2022-03-08,normal
ACC114835,ACC836996,144345,UPI,2022-05-02,normal
ACC836996,ACC205409,72857,NEFT,2024-12-14,normal
ACC142185,ACC836996,82940,RTGS,2022-05-17,normal
ACC836996,ACC147726,66144,UPI,2025-08-17,normal
ACC878967,ACC796212,99739,Cash Deposit,2022-05-22,normal
ACC796212,ACC326895,122058,RTGS,2024-12-13,normal
ACC878967,ACC796212,5875,NEFT,2024-09-22,normal
ACC901577,ACC796212,108270,Cash Deposit,2025-07-16,normal
ACC282256,ACC796212,42213,RTGS,2022-02-25,normal
ACC522060,ACC836996,56456,Cash Deposit,2023-06-09,normal
ACC147726,ACC796212,125923,UPI,2024-01-27,normal
ACC796212,ACC522060,137074,UPI,2025-09-05,normal
ACC899787,ACC796212,66184,RTGS,2022-02-17,normal
ACC836996,ACC644173,76835,UPI,2024-03-26,normal
ACC713762,ACC836996,110425,RTGS,2025-12-09,normal
ACC836996,ACC796212,104139,UPI,2022-08-09,normal
ACC342720,ACC796212,24651,NEFT,2024-10-11,normal
ACC718226,ACC836996,141884,Cash Deposit,2024-07-29,normal
ACC760021,ACC836996,94058,UPI,2025-09-12,normal
ACC796212,ACC718226,88357,Cash Deposit,2023-05-12,normal
ACC876039,ACC796212,118557,UPI,2023-05-29,normal
ACC796212,ACC718226,43149,UPI,2025-05-14,normal
ACC796212,ACC751194,54875,RTGS,2025-10-30,normal
ACC332360,ACC796212,74034,NEFT,2025-09-28,normal
ACC796212,ACC114835,85299,Cash Deposit,2024-02-21,normal
ACC168517,ACC796212,26486,Cash Deposit,2022-08-07,normal
ACC836996,ACC528361,78674,Cash Deposit,2022-10-15,normal
ACC836996,ACC205409,115902,RTGS,2023-12-18,normal
ACC341736,ACC796212,21906,UPI,2023-06-14,normal
ACC600935,ACC796212,68099,UPI,2024-02-27,normal
ACC522060,ACC796212,131723,UPI,2025-11-19,normal
