CALLER,RECEIVER,DURATION_SEC,TOWER_ID,DATE
4024455022,01864492519,213,L16,2023-07-01
07451712368,+913690034324,526,L14,2025-12-15
00576627028,06232858842,488,L15,2023-05-15
1746120047,06038597703,618,L13,2024-11-06
4422583132,01604817549,845,L14,2022-01-06
07451712368,3183933529,242,L14,2024-08-02
+911382675869,+918156149784,767,L16,2022-04-11
+912870831727,1746120047,379,L16,2024-12-23
1241182449,05137098593,470,L14,2024-01-25
+911775891783,1047095214,231,L12,2025-06-13
06038597703,0847007661,306,L16,2024-07-18
+914228421020,+911382675869,342,L12,2025-10-04
01473210469,07115921249,365,L16,2022-08-01
01604817549,+916562729806,498,L12,2023-04-05
05512567468,+911382675869,122,L16,2023-07-25
0147679764,+911382675869,628,L14,2025-09-09
+911467866912,0847007661,58,L13,2022-11-15
02545991022,06232858842,457,L14,2024-04-28
2327193745,01604817549,358,L12,2024-05-30
9367632016,05137098593,240,L16,2024-10-21
05137098593,+918053100330,799,L14,2023-12-17
1047095214,+911382675869,598,L16,2024-07-08
04688623924,+911775891783,365,L12,2024-11-05
+911775891783,06038597703,599,L12,2025-02-09
01183673657,07451712368,68,L12,2024-07-11
05137098593,06156545271,377,L14,2024-02-03
+911382675869,06038597703,263,L16,2025-09-06
0847007661,+916562729806,190,L16,2025-11-19
0147679764,+911382675869,456,L14,2024-08-03
+919270653794,07451712368,433,L13,2022-11-28
+911043289861,1746120047,110,L16,2025-12-27
1047095214,01604817549,855,L12,2024-06-14
05137098593,5148465648,300,L14,2023-05-02
1241182449,01604817549,252,L14,2022-10-22
1829922995,1746120047,810,L16,2024-11-05
02456506098,06232858842,191,L12,2022-10-04
01604817549,9121655852,561,L14,2024-08-27
5654310278,01604817549,825,L15,2022-06-19
2617964053,05137098593,412,L14,2023-10-06
01604817549,5964016582,125,L14,2023-06-21
04688623924,01604817549,129,L13,2023-02-16
6631931491,07451712368,374,L16,2025-02-08
08018242253,01604817549,295,L14,2022-06-11
8880670654,1746120047,662,L15,2023-09-11
6474367136,06232858842,213,L16,2023-11-28
08018242253,07451712368,251,L16,2023-03-17
+911382675869,+917154516808,300,L15,2022-05-31
07451712368,2546291486,291,L16,2025-06-30
+911382675869,+917154516808,152,L16,2023-02-12
01604817549,07451712368,51,L13,2022-03-21
01183673657,01604817549,340,L14,2025-06-09
0847007661,01823374989,676,L16,2025-03-30
01604817549,+911382675869,683,L16,2024-09-06
1746120047,0147679764,893,L14,2025-10-26
+918156149784,06232858842,496,L16,2023-12-16
