CALLER,RECEIVER,DURATION_SEC,TOWER_ID,DATE
00576627028,+918053100330,375,L15,2025-06-29
+919868000257,5964016582,477,L13,2022-08-29
5220472779,01902294131,813,L14,2024-04-29
2617964053,+919912419049,799,L12,2024-04-21
9121655852,04688623924,672,L15,2022-11-08
05562588153,+913200379176,609,L12,2023-11-11
1047095214,01473210469,351,L15,2025-06-30
04688623924,09361832421,388,L13,2024-06-01
7769453147,08867533963,703,L13,2023-01-04
03755646417,06156545271,396,L13,2025-06-23
08877190659,+910276773592,711,L15,2023-05-28
08536153051,+918053100330,398,L12,2024-09-16
04688623924,+919912419049,199,L14,2025-06-25
+914345581223,05562588153,885,L15,2025-10-17
05562588153,04688623924,379,L15,2022-07-04
+919912419049,+911280598262,848,L14,2024-08-08
08086131712,+918053100330,130,L12,2024-07-20
04688623924,7769453147,133,L13,2025-03-02
+917581814124,+919912419049,797,L16,2022-10-30
+915454948083,03755646417,681,L13,2022-02-22
07752047116,6120183667,566,L14,2025-12-29
01473210469,07115921249,365,L16,2022-08-01
+919912419049,06238692221,579,L16,2025-06-27
+915348740164,07752047116,785,L14,2023-09-25
05512567468,03755646417,151,L15,2025-03-05
+911467866912,0847007661,58,L13,2022-11-15
6499091334,0147679764,503,L14,2024-12-15
2327193745,08018242253,790,L14,2022-10-09
08742967175,03755646417,527,L12,2025-07-20
05137098593,+918053100330,799,L14,2023-12-17
+917154516808,03755646417,224,L15,2023-12-01
+918053100330,4958887947,163,L14,2022-06-08
+917581814124,03755646417,453,L15,2022-03-31
08536153051,6499091334,786,L14,2022-11-25
08018242253,+919912419049,466,L12,2023-12-17
+918053100330,02545991022,541,L12,2024-01-09
+913690034324,01778528922,42,L13,2023-08-24
+910524278680,+918053100330,47,L14,2023-10-09
01604817549,9121655852,561,L14,2024-08-27
09361832421,08501429401,340,L14,2025-09-15
4958887947,07752047116,815,L12,2022-04-28
+917996507527,5148465648,758,L15,2023-01-17
+918053100330,8895798687,80,L13,2024-07-14
6120183667,03755646417,137,L16,2024-06-05
00139904902,03755646417,731,L14,2023-04-07
08018242253,01604817549,295,L14,2022-06-11
+918053100330,0010943969,286,L14,2022-09-14
01778528922,+916562729806,679,L16,2025-07-02
7769453147,04688623924,420,L15,2023-09-02
+917996507527,5220472779,168,L16,2023-11-02
8516060715,+918053100330,168,L16,2024-10-17
08018242253,07451712368,251,L16,2023-03-17
03755646417,+919868000257,762,L16,2023-09-05
08877190659,+917581814124,382,L12,2023-11-10
+919912419049,+910524278680,496,L16,2022-12-16
+918053100330,6474367136,433,L15,2022-11-07
06156545271,+918053100330,257,L16,2023-07-26
+912499471746,+911467866912,309,L13,2023-08-15
09808932460,03755646417,42,L15,2024-03-24
+918053100330,1998679807,898,L12,2023-08-16
03755646417,1047095214,268,L12,2023-01-17
03755646417,08536153051,420,L16,2024-05-25
6120183667,+911467866912,381,L13,2025-06-12
+919912419049,8895798687,161,L16,2024-07-20
05137098593,03755646417,879,L15,2024-12-01
+916562729806,+918053100330,747,L12,2022-08-20
08877190659,02316658760,681,L13,2024-12-03
00576627028,07752047116,575,L13,2025-04-26
01778528922,0147679764,809,L14,2024-12-10
01343524082,0147679764,622,L12,2022-03-22
+918053100330,01864492519,746,L16,2025-10-07
00139904902,6499091334,482,L14,2024-12-28
09361832421,+918053100330,240,L16,2024-02-17
9121655852,+919912419049,705,L12,2022-06-15
0927557192,+919912419049,893,L16,2025-11-18
+912172715518,08877190659,582,L16,2023-05-08
+911467866912,6937923747,701,L15,2025-04-14
01778528922,5944064090,784,L12,2023-07-07
+912870831727,+918053100330,464,L16,2025-02-14
2617964053,03755646417,394,L13,2022-12-14
02316658760,03755646417,287,L14,2024-05-12
+911775891783,+918053100330,114,L14,2022-10-05
00139904902,05562588153,331,L15,2023-08-20
01473210469,7383473597,338,L14,2024-02-10
03755646417,+911161528098,581,L15,2025-08-14
05562588153,08742967175,820,L12,2024-05-31
00139904902,08877190659,834,L12,2025-12-26
03755646417,+911382675869,478,L15,2023-04-20
6120183667,+918053100330,678,L15,2024-06-04
05562588153,00139904902,402,L15,2025-06-05
03755646417,0147679764,824,L16,2023-09-02
00139904902,03755646417,715,L16,2022-10-17
+918053100330,6120183667,715,L13,2025-08-14
06232858842,+918053100330,398,L16,2025-02-24
+915348740164,+919912419049,300,L15,2022-12-11
+919912419049,7809134316,758,L13,2025-08-31
+912499471746,4958887947,465,L14,2023-06-23
6120183667,03755646417,147,L13,2023-02-28
01604817549,01902294131,382,L15,2024-07-20
08086131712,01473210469,849,L15,2023-03-10
01343524082,08261375060,350,L16,2025-01-25
+919868000257,+911724005045,710,L14,2022-09-28
6120183667,+917996507527,620,L16,2025-05-13
6499091334,+911467866912,32,L14,2025-09-10
7769453147,5654310278,123,L16,2024-07-17
03755646417,9016272046,796,L16,2022-07-30
03755646417,04688623924,52,L12,2024-04-01
01864492519,7769453147,11,L12,2024-04-19
+919912419049,05512567468,864,L12,2025-11-21
00139904902,00084271094,81,L13,2023-02-20
05562588153,2327193745,320,L14,2024-08-06
+910524278680,08877190659,844,L12,2022-12-23
4958887947,+918053100330,666,L13,2024-06-27
03755646417,2327193745,196,L14,2023-07-18
7769453147,09361832421,426,L15,2025-02-01
+911280598262,6999386774,145,L13,2024-05-08
04688623924,9121655852,805,L14,2025-12-31
00139904902,00084271094,31,L16,2023-10-16
+919912419049,08527722170,802,L12,2023-07-30
03755646417,+911775891783,830,L14,2025-11-29
+918053100330,9121655852,509,L14,2025-01-15
03755646417,+915348740164,62,L16,2023-04-22
+919912419049,05137098593,5,L16,2023-11-11
03755646417,01473210469,715,L14,2025-06-10
+919912419049,03950240268,184,L14,2024-02-14
3552312432,09361832421,186,L16,2022-01-04
03755646417,+911280598262,871,L14,2022-03-10
03755646417,+917154516808,754,L16,2022-06-03
01778528922,00047974801,351,L16,2025-05-01
2327193745,+918053100330,718,L16,2025-02-08
01823374989,6999386774,248,L12,2022-07-16
+919912419049,+911280598262,401,L15,2024-12-06
05562588153,+918156149784,491,L13,2025-03-18
03259532787,+919912419049,312,L14,2024-06-26
01343524082,5171870262,666,L13,2022-07-02
+915348740164,+918053100330,857,L12,2023-02-16
+917996507527,1047095214,374,L13,2025-12-14
07752047116,+917581814124,522,L12,2024-03-23
03755646417,5220472779,605,L14,2025-02-03
6499091334,06038597703,171,L13,2025-03-17
+919912419049,06156545271,317,L14,2025-12-30
+919912419049,00139904902,538,L15,2025-07-01
+918053100330,01604817549,251,L16,2022-04-27
6966416052,+919912419049,552,L15,2025-07-31
08018242253,00345054156,675,L13,2022-07-02
1047095214,+918053100330,127,L15,2025-10-26
+919868000257,08742967175,588,L13,2024-07-26
1241182449,07752047116,784,L16,2022-12-12
03755646417,+917581814124,310,L15,2023-08-19
+919912419049,+915841687849,221,L16,2022-02-14
08877190659,02545991022,683,L14,2024-12-01
09361832421,+915348740164,513,L15,2023-03-02
+913036541458,03755646417,45,L14,2023-08-19
+910276773592,00084271094,399,L15,2025-11-13
03755646417,06038597703,372,L12,2025-06-06
02545991022,+917996507527,359,L15,2025-09-21
08742967175,01902294131,524,L16,2023-04-02
+913678377701,+918053100330,128,L13,2024-03-15
03755646417,+917581814124,111,L16,2024-03-04
01473210469,1047095214,141,L15,2022-10-10
+918053100330,4024455022,302,L14,2025-11-07
01343524082,04688623924,298,L14,2025-10-31
08536153051,08877190659,813,L16,2025-03-18
+919912419049,3597820715,548,L16,2024-08-30
06232858842,+912499471746,672,L14,2023-01-30
01183673657,6999386774,453,L15,2024-02-21
03755646417,+919832731585,263,L12,2023-02-02
03755646417,04688623924,877,L16,2022-04-22
+915454948083,+918053100330,599,L14,2024-09-24
1241182449,7769453147,231,L15,2025-12-29
01902294131,05512567468,700,L15,2023-11-11
0515319520,+918053100330,756,L12,2025-07-07
08501429401,01473210469,653,L14,2023-07-15
7769453147,9367632016,611,L13,2022-11-26
03755646417,5654310278,534,L16,2024-04-10
01473210469,6120183667,741,L14,2025-09-17
08018242253,2327193745,626,L15,2024-08-23
03755646417,08261375060,620,L16,2022-10-20
+917581814124,03755646417,680,L14,2024-11-12
03755646417,+918156149784,469,L16,2025-05-06
+919912419049,04688623924,813,L14,2024-02-20
6499091334,03410369711,423,L13,2023-06-12
+911161528098,+919868000257,411,L15,2023-02-22
+918053100330,04688623924,527,L13,2024-11-22
+910276773592,01902294131,625,L15,2023-02-03
08018242253,04688623924,268,L16,2025-01-06
01343524082,08018242253,704,L15,2023-01-25
+919912419049,08261375060,861,L14,2025-06-20
03755646417,2546291486,528,L15,2023-07-28
+919912419049,07351585064,60,L15,2024-12-12
+918053100330,08557444313,280,L16,2024-08-23
